generation	population_size	num_mutations	nucleotide_diversity	theta_watterson	beneficial_freq
0	10000	1	0.0	0.000102	0.0
1	10000	1	1e-06	0.000102	0.0
2	10000	1	0.0	0.000102	0.0
3	10000	1	1e-06	0.000102	0.0
4	10000	1	2e-06	0.000102	0.0
5	10000	1	1e-06	0.000102	0.0
6	10000	1	0.0	0.000102	0.0
7	10000	0	0.0	0.0	0.0
8	10000	0	0.0	0.0	0.0
9	10000	0	0.0	0.0	0.0
10	10000	0	0.0	0.0	0.0
11	10000	0	0.0	0.0	0.0
12	10000	0	0.0	0.0	0.0
13	10000	0	0.0	0.0	0.0
14	10000	0	0.0	0.0	0.0
15	10000	0	0.0	0.0	0.0
16	10000	0	0.0	0.0	0.0
17	10000	1	0.0	0.000102	0.0
18	10000	1	0.0	0.000102	0.0
19	10000	1	0.0	0.000102	0.0
20	10000	2	1e-06	0.000204	0.0
21	10000	2	1e-06	0.000204	0.0
22	10000	2	2e-06	0.000204	0.0
23	10000	3	3e-06	0.000307	0.0
24	10000	4	2e-06	0.000409	0.0
25	10000	4	3e-06	0.000409	0.0
26	10000	4	2e-06	0.000409	0.0
27	10000	2	2e-06	0.000204	0.0
28	10000	2	3e-06	0.000204	0.0
29	10000	3	2e-06	0.000307	0.0
30	10000	3	2e-06	0.000307	0.0
31	10000	3	2e-06	0.000307	0.0
32	10000	3	4e-06	0.000307	0.0
33	10000	3	4e-06	0.000307	0.0
34	10000	3	5e-06	0.000307	0.0
35	10000	3	7e-06	0.000307	0.0
36	10000	3	1e-05	0.000307	0.0
37	10000	3	1e-05	0.000307	0.0
38	10000	6	8e-06	0.000613	0.0
39	10000	3	8e-06	0.000307	0.0
40	10000	4	1e-05	0.000409	0.0
41	10000	4	1.2e-05	0.000409	0.0
42	10000	4	1e-05	0.000409	0.0
43	10000	4	1.1e-05	0.000409	0.0
44	10000	4	1.2e-05	0.000409	0.0
45	10000	4	1.2e-05	0.000409	0.0
46	10000	4	1.1e-05	0.000409	0.0
47	10000	4	1.3e-05	0.000409	0.0
48	10000	4	1.5e-05	0.000409	0.0
49	10000	4	1.9e-05	0.000409	0.0
50	10000	4	1.9e-05	0.000409	0.0
51	10000	3	1.7e-05	0.000307	0.0
52	10000	4	2.1e-05	0.000409	0.0
53	10000	4	2.5e-05	0.000409	0.0
54	10000	4	2.4e-05	0.000409	0.0
55	10000	3	2.4e-05	0.000307	0.0
56	10000	3	2.5e-05	0.000307	0.0
57	10000	3	2.4e-05	0.000307	0.0
58	10000	3	2.6e-05	0.000307	0.0
59	10000	3	2.5e-05	0.000307	0.0
60	10000	3	2.5e-05	0.000307	0.0
61	10000	3	2.6e-05	0.000307	0.0
62	10000	3	2.8e-05	0.000307	0.0
63	10000	3	3e-05	0.000307	0.0
64	10000	3	3e-05	0.000307	0.0
65	10000	3	2.8e-05	0.000307	0.0
66	10000	3	3.1e-05	0.000307	0.0
